sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
234,2341661,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
235,2352429,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
236,2362698,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
237,2373096,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
238,2382185,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
239,2392392,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
240,2402488,1,1,-0.178,-1.401,-0.159,-1.403,-0.01167430695,4.222099503e-06
241,2412244,1,1,-0.178,-1.399,-0.159,-1.403,-0.01167430695,8.444199006e-06
242,2422295,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
243,2434128,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
244,2442203,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
245,2452222,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
246,2462282,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
247,2472176,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
248,2482204,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
249,2492232,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
250,2502224,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
251,2512207,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
252,2522189,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
253,2534471,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
254,2542333,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
255,2552379,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
256,2562136,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
257,2572513,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
258,2582229,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
259,2592256,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
260,2602283,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
261,2612535,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
262,2622774,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
263,2635399,1,1,-0.178,-1.401,-0.159,-1.403,-0.01167430695,4.222099503e-06
264,2642735,1,1,-0.178,-1.401,-0.159,-1.403,-0.01167430695,4.222099503e-06
265,2652717,1,1,-0.178,-1.401,-0.159,-1.403,-0.01167430695,4.222099503e-06
266,2662793,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
267,2672902,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
268,2682600,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
269,2692333,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
270,2702415,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
271,2712641,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
272,2722756,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
273,2735320,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
274,2741615,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
275,2752450,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
276,2762281,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
277,2772523,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
278,2782408,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
279,2792269,1,1,-0.178,-1.399,-0.159,-1.403,-0.01167430695,8.444199006e-06
280,2802160,1,1,-0.178,-1.399,-0.159,-1.403,-0.01167430695,8.444199006e-06
281,2812235,1,1,-0.178,-1.399,-0.159,-1.403,-0.01167430695,8.444199006e-06
282,2822430,1,1,-0.178,-1.399,-0.159,-1.403,-0.01167430695,8.444199006e-06
283,2836060,1,1,-0.178,-1.399,-0.159,-1.403,-0.01167430695,8.444199006e-06
284,2841609,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
285,2851666,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
286,2862128,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
287,2872235,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
288,2882663,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
289,2892187,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
290,2902610,1,1,-0.178,-1.4,-0.159,-1.403,-0.01167430695,6.333149255e-06
