tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,axis6_pos_abs_mm,axis7_pos_abs_mm,ain0_raw_v,ain1_raw_v
865265,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865265,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865265,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865265,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865265,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865281,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865281,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865281,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865281,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865281,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865281,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865296,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865296,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865296,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865296,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865296,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865296,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865312,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865312,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865312,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865312,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865312,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865312,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865328,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865328,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865328,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865328,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865328,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865328,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865343,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865343,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865343,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865343,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865343,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865343,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865359,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865359,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865359,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865359,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865359,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865359,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865359,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865375,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865375,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865375,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865375,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865375,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865390,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865390,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865390,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865390,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
